city_ascii,lat,lng,country,capital,population
Zhaotong,27.338,103.717,China,,5092611
Zhangzhou,24.513,117.647,China,minor,5054328
Yueyang,29.3647,113.1309,China,minor,5051922
Melbourne,-37.8142,144.9631,Australia,admin,5031195
Yichun,27.816,114.417,China,minor,5007702
Abidjan,5.3364,-4.0267,Côte d’Ivoire,primary,4980000
Guilin,25.275,110.296,China,minor,4931137
Pingdingshan,33.7666,113.1926,China,,4904701
Alexandria,31.1975,29.8925,Egypt,admin,4870000
Bozhou,33.8463,115.7786,China,,4850657
Sydney,-33.8667,151.2,Australia,admin,4840600
Barcelona,41.3833,2.1833,Spain,admin,4800000
Yuncheng,35.0267,111.007,China,,4774508
Cape Town,-33.9253,18.4239,South Africa,primary,4770313
Changsha,28.228,112.939,China,admin,4766296
Suqian,33.963,118.275,China,,4719178
Jeddah,21.5428,39.1728,Saudi Arabia,,4697000
Weinan,34.5206,109.471,China,minor,4688744
Berlin,52.52,13.405,Germany,primary,4679500
Chenzhou,25.77,113.016,China,minor,4667134
Jiangmen,22.5789,113.0815,China,minor,4630300
Mianyang,31.468,104.679,China,minor,4613862
Jiujiang,29.661,115.954,China,minor,4600276
Huaihua,27.5698,110.0016,China,,4587594
Huanglongsi,34.795,114.345,China,,4564900
Taizhou,32.4567,119.9229,China,minor,4512762
Belahi,26.4,86.25,India,,4487379
Yibin,28.752,104.643,China,minor,4471896
Ji'an,27.0912,114.9668,China,minor,4469176
Yangzhou,32.3944,119.4128,China,,4459760
Kunming,25.0464,102.7094,China,admin,4422686
Changchun,43.897,125.326,China,admin,4408154
Lu'an,31.736,116.52,China,minor,4393699
Xinpu,34.5966,119.2214,China,minor,4393482
Langfang,39.5383,116.6835,China,minor,4358839
Boston,42.3188,-71.0852,United States,admin,4355184
Urumqi,43.8225,87.6125,China,admin,4335017
Suzhou,31.3,120.6194,China,minor,4330000
Guigang,23.112,109.599,China,minor,4316262
Shantou,23.354,116.682,China,minor,4312192
Jiangguanchi,34.037,113.852,China,minor,4307488
Kabul,34.5253,69.1783,Afghanistan,primary,4273156
Xiaoganzhan,30.918,113.957,China,,4270371
Bamako,12.6458,-7.9922,Mali,primary,4227569
Kano,12,8.5167,Nigeria,admin,4224966
Luzhou,28.871,105.442,China,minor,4218427
Hefei,31.8206,117.2273,China,admin,4216940
Hengshui,37.739,115.669,China,minor,4212933
Fortaleza,-3.7275,-38.5275,Brazil,admin,4167996
Anqing,30.5318,117.1153,China,minor,4165284
Zhangjiakou,40.769,114.886,China,minor,4118908
Zhaoqing,23.05,112.4667,China,minor,4113594
Shijiazhuang,38.0425,114.51,China,admin,4098243
Ningbo,29.8603,121.6245,China,minor,4087523
Qiqihar,47.3549,123.9182,China,minor,4067489
Phoenix,33.5722,-112.0892,United States,admin,4065338
Liuzhou,24.3278,109.4278,China,minor,4041700
Chifeng,42.255,118.8825,China,minor,4035967
Xiaoxita,30.692,111.287,China,minor,4017607
Amman,31.9497,35.9328,Jordan,primary,4007526
Linfen,36.088,111.519,China,,3976481
Xianyang,34.3299,108.7088,China,minor,3959842
Chuzhou,32.256,118.333,China,,3937868
Kumasi,6.7,-1.625,Ghana,admin,3903480
Zhuzhou,27.829,113.133,China,minor,3902738
Taiyuan,37.8704,112.5497,China,admin,3875053
Qingyuan,23.682,113.056,China,minor,3874000
Meizhou,24.289,116.122,China,minor,3873239
Yiyang,28.5549,112.356,China,minor,3851564
Nanning,22.8167,108.3275,China,admin,3837978
Harbin,45.7576,126.6409,China,admin,3830000
Loudi,27.6998,111.9944,China,,3826996
Abuja,9.0667,7.4833,Nigeria,primary,3770000
Yokohama,35.4442,139.6381,Japan,admin,3757630
Suihua,46.654,126.969,China,minor,3756167
Binzhou,37.383,117.971,China,,3748474
Zaozhuang,34.8109,117.3238,China,,3729140
Detroit,42.3834,-83.1024,United States,,3716929
Xiamen,24.4796,118.0889,China,minor,3707090
Mashhad,36.3264,59.5433,Iran,admin,3700000
Montreal,45.5089,-73.5617,Canada,,3675219
Fuzhou,26.0743,119.2964,China,admin,3671192
Wuhu,31.3526,118.4331,China,minor,3644420
Medan,3.5894,98.6739,Indonesia,admin,3632000
Yulinshi,38.2858,109.7341,China,,3624750
Fuzhou,27.949,116.358,China,,3614866
Wenzhou,27.9938,120.6993,China,,3604446
Changzhou,31.811,119.974,China,minor,3601079
Puyang,35.7627,115.0292,China,minor,3598740
Nanchang,28.683,115.858,China,admin,3576547
Baicheng,23.903,106.619,China,minor,3571505
Seattle,47.6211,-122.3244,United States,,3555253
Ibadan,7.3964,3.9167,Nigeria,admin,3552000
Jiaozuo,35.2157,113.2419,China,,3521078
Nadampalaiyam,11.0125,76.9714,India,,3458045
Deyang,31.127,104.398,China,minor,3456161
Busan,35.18,129.075,"Korea, South",admin,3453198
Hechi,24.693,108.085,China,minor,3417945
Tangshan,39.6294,118.1739,China,minor,3399231
Lucknow,26.85,80.95,India,admin,3382000
San Francisco,37.7558,-122.4449,United States,,3364862
Boankra,6.6919,-1.4051,Ghana,,3348000
Dubai,25.2631,55.2972,United Arab Emirates,admin,3331420
Anshan,41.108,122.994,China,,3325372
Guozhen,34.3609,107.1751,China,minor,3321853
Baojishi,34.363,107.238,China,,3321853
Qinzhou,21.981,108.654,China,minor,3302238
Guiyang,26.647,106.63,China,admin,3299724
Wuxi,31.5667,120.2833,China,minor,3245179
Kannankulam,10.52,76.21,India,,3243170
Caracas,10.4806,-66.9036,Venezuela,primary,3242000
Kotla Qasim Khan,32.5833,73.75,Pakistan,,3219375
Casablanca,33.5333,-7.5833,Morocco,admin,3215935
Hanzhong,33.0664,107.0232,China,,3211462
Shiyan,32.629,110.7987,China,minor,3209004
Guang'an,30.4564,106.6326,China,minor,3205476
Faisalabad,31.4167,73.0911,Pakistan,minor,3203846
Changzhi,36.195,113.117,China,minor,3180884
Tongren,27.7316,109.1895,China,,3168800
Bengbu,32.917,117.389,China,,3164467
Leshan,29.552,103.766,China,,3160168
Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,,3151676
Neijiang,29.5802,105.058,China,minor,3140678
Zhenjiang,32.188,119.424,China,minor,3113384
Qinhuangdao,39.8882,119.5202,China,minor,3107400
Bursa,40.1833,29.05,Turkey,admin,3101833
Tashkent,41.3111,69.2797,Uzbekistan,primary,3095498
Guayaquil,-2.19,-79.8875,Ecuador,admin,3094420
Jaipur,26.9,75.8,India,admin,3073350
Lanzhou,36.0606,103.8268,China,admin,3067141
Ouagadougou,12.3686,-1.5275,Burkina Faso,primary,3063271
Athens,37.9842,23.7281,Greece,primary,3059764
San Diego,32.8313,-117.1222,United States,,3057778
Guatemala City,14.6417,-90.5133,Guatemala,primary,3014000
Kuwait City,29.3697,47.9783,Kuwait,primary,2989000
Qincheng,34.5815,105.7248,China,minor,2984659
Izmir,38.42,27.14,Turkey,admin,2965900
